Region_ID,R,G,B
1,255,52,39
3,0,0,255
4,255,255,1
5,0,255,255
6,255,0,255
7,52,255,13
10,29,104,235
32,26,231,255
33,2,44,255
34,212,255,0
35,255,25,240
36,124,252,0
37,255,186,0
38,174,0,232
40,255,8,0
41,48,218,0
42,38,126,255
43,218,170,62
45,134,255,90
46,33,230,255
47,153,83,255
48,226,120,161
50,86,0,221
51,7,255,89
52,21,192,255
53,238,186,0
54,173,255,47
55,225,151,15
56,235,87,255
57,250,244,247
58,0,215,11
59,0,255,29
60,244,67,69
61,0,255,0
62,238,117,51
63,255,0,218
64,15,109,230
65,255,227,0
66,255,135,0
67,255,110,0
68,188,32,173
69,255,42,39
70,39,244,253
71,63,192,255
72,179,28,53
73,255,79,206
74,0,246,14
75,91,241,255
77,206,211,7
78,134,204,76
79,128,170,255
80,69,235,202
81,222,7,237
82,225,240,13
83,250,170,64
84,65,150,255
85,114,9,212
93,0,8,182
94,255,87,30
95,165,131,107
96,91,45,10
97,255,255,0
98,217,104,13
99,255,0,0
100,255,192,0
108,40,112,130
109,80,123,175
110,23,54,96
112,205,51,255
113,112,48,160
114,122,187,51
115,90,111,47
119,0,144,55
120,0,255,28
121,253,148,0
122,253,50,0
123,0,12,255
125,52,29,144
126,92,156,211
127,0,80,156
128,197,238,255
129,255,217,0
130,213,255,0
131,0,255,81
132,0,238,255
133,219,239,61
134,35,76,190
135,1,153,21
136,0,174,255
137,255,0,115
138,171,16,91
139,108,18,91
140,255,29,0
141,255,166,0
142,206,255,142
143,0,238,254
145,48,136,203
146,176,58,72
150,255,47,242
151,255,215,0
152,240,255,255
153,216,191,216
157,244,156,255
158,34,152,255
159,0,230,207
160,0,255,106
162,185,255,233
163,99,205,0
164,110,0,255
180,255,0,221
181,0,204,255
182,0,0,254
183,165,120,221
184,230,216,250
187,99,197,18
188,255,255,127
189,0,159,159
192,88,47,108
193,0,162,255
195,255,85,255
196,127,255,212
197,129,79,155
198,200,25,200
199,220,20,60
200,0,217,255
201,183,199,136
204,255,25,0
205,255,226,0
206,217,108,0
207,205,0,24
208,228,112,214
210,255,255,200
211,205,0,6
213,131,10,121
214,239,121,218
215,101,35,142
216,0,255,17
218,35,255,236
219,255,170,0
221,0,185,126
222,130,0,217
223,139,93,139
227,255,0,254
228,255,123,0
229,43,153,31
230,255,255,2
231,170,170,255
232,255,85,127
233,85,170,0
235,216,191,217
236,75,200,138
238,194,71,79
239,219,143,247
240,170,255,255
242,156,51,51
246,240,248,255
247,224,182,64
248,153,50,204
249,170,255,0
254,0,85,255
255,248,117,222
257,30,144,255
260,160,82,45
266,0,255,8
267,255,239,213
268,0,0,205
270,210,182,140
272,0,0,128
278,233,150,122
280,255,250,250
281,147,112,219
282,131,50,128
283,199,87,61
284,255,182,193
285,60,179,113
286,255,235,205
287,255,228,196
290,155,148,111
291,255,92,10
293,255,136,0
294,171,86,62
295,239,163,0
297,10,244,217
298,131,58,31
299,10,244,150
400,255,0,1
401,255,174,201
402,200,191,231
403,63,72,204
404,185,122,87
405,163,73,164
406,0,162,232
407,136,0,21
408,153,217,234
409,255,201,14
410,255,127,39
411,0,128,128
412,153,217,200
413,34,177,76
414,255,242,0
416,239,228,176
417,185,14,131
418,237,28,36
420,255,128,192
422,200,100,250
423,136,100,21
424,181,230,29
425,120,177,76
427,200,73,164
429,225,150,201
430,25,100,200
432,255,240,29
433,108,0,108
436,128,0,64
442,84,52,35
443,255,100,100
444,0,128,0
448,128,0,100
500,1,10,100
501,2,20,200
502,230,184,67
504,135,206,250
505,85,107,47
506,64,224,208
1000,50,168,82
1001,255,255,255
1002,255,255,255
1003,255,255,255
1004,255,255,255
1005,255,255,255
1006,255,255,255
1007,255,255,255
1008,255,255,255
1009,255,255,255
1010,255,255,255
1011,255,255,255
1012,255,255,255
1013,128,128,128
1015,128,128,128
1018,128,128,128
1019,128,128,128
1020,128,128,128
1021,128,128,128
1022,128,128,128
1023,128,128,128
1024,128,128,128
1025,128,128,128
1028,128,128,128
1032,128,128,128
1033,128,128,128
1034,128,128,128
1035,128,128,128
1036,128,128,128
1037,128,128,128
1038,128,128,128
1039,128,128,128
1043,128,128,128
1044,128,128,128
1045,128,128,128
1046,128,128,128
1047,128,128,128
1048,114,126,186
1049,16,79,24
1050,255,255,255
1051,255,255,255
1052,128,128,128
1053,128,128,128
1055,128,128,128
1056,128,128,128
1057,128,128,128
1058,128,128,128
1059,128,128,128
1060,128,128,128
1061,128,128,128
1062,128,128,128
1063,128,128,128
1064,128,128,128
1065,128,128,128
1066,128,128,128
1067,128,128,128
1068,128,128,128
1069,128,128,128
1070,128,128,128
1071,128,128,128
1072,128,128,128
1073,128,128,128
1074,128,128,128
1075,128,128,128
1076,128,128,128
1077,128,128,128
1078,128,128,128
1079,128,128,128
1080,128,128,128
1081,128,128,128
1082,128,128,128
1083,128,128,128
1084,128,128,128
1085,128,128,128
1086,128,128,128
1087,128,128,128
1088,128,128,128
1089,128,128,128
1090,128,128,128
1091,128,128,128
1092,128,128,128
1093,128,128,128
1094,128,128,128
1095,128,128,128
1096,128,128,128
1097,128,128,128
1098,128,128,128
1099,128,128,128
1100,128,128,128
1101,128,128,128