Depth_0,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9
brain,grey,BS,IB,HY,MEZ,MBO,TM,TMv,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-m,SSp-m6b
brain,fiber tracts,lfbs,cst,int,,,,,
brain,grey,BS,HB,P,P-sen,PSV,,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-tr,SSp-tr6a
brain,grey,BS,MB,MBmot,SCm,SCig,,,
brain,grey,BS,MB,MBsta,RAmb,IF,,,
brain,grey,BS,IB,TH,DORpm,MTN,PT,,
brain,grey,BS,MB,MBmot,SCm,SCiw,,,
brain,grey,CH,CTX,CTXpl,HPF,HIP,IG,,
brain,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTl,ENTl2
brain,grey,CH,CNU,STR,sAMY,AAA,,,
brain,grey,BS,MB,MBmot,SCm,SCdg,,,
brain,grey,BS,IB,TH,DORpm,GENv,IGL,,
brain,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTl,ENTl6a
brain,grey,BS,IB,HY,PVZ,PVa,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISp,VISp6a,
brain,grey,BS,MB,MBmot,III,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,GU,GU1,,
brain,grey,BS,IB,HY,PVZ,PVH,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm2/3,
brain,grey,BS,MB,MBmot,SCm,SCdw,,,
brain,grey,BS,MB,MBmot,PAG,PRC,,,
brain,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTl,ENTl3
brain,fiber tracts,mfbs,mfsbshy,mfb,,,,,
brain,grey,CH,CNU,STR,STRv,ACB,,,
brain,grey,BS,MB,MBmot,MT,,,,
brain,grey,BS,IB,TH,DORpm,MED,IMD,,
brain,fiber tracts,cm,IIIn,mlf,,,,,
brain,grey,BS,IB,HY,MEZ,PVHd,,,
brain,grey,BS,IB,TH,DORpm,ATN,AD,,
brain,grey,BS,MB,MBmot,LT,,,,
brain,grey,BS,MB,MBmot,PAG,INC,,,
brain,grey,CH,CTX,CTXpl,Isocortex,FRP,FRP1,,
brain,grey,BS,IB,HY,PVR,ADP,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISl,VISl6a,
brain,grey,BS,MB,MBmot,DT,,,,
brain,fiber tracts,cbf,cbp,mcp,,,,,
brain,VS,VL,,,,,,,
brain,grey,BS,HB,MY,MY-mot,IO,,,
brain,grey,CH,CTX,CTXpl,Isocortex,PL,PL6a,,
brain,grey,BS,IB,HY,MEZ,AHN,,,
brain,grey,CB,CBN,IP,,,,,
brain,fiber tracts,cm,Vn,moV,,,,,
brain,grey,BS,HB,MY,MY-sen,CN,DCO,,
brain,grey,CH,CTX,CTXpl,Isocortex,TEa,TEa1,,
brain,VS,VL,SEZ,,,,,,
brain,grey,BS,MB,MBsta,RAmb,IPN,,,
brain,grey,BS,HB,MY,MY-sen,CN,VCO,,
brain,fiber tracts,eps,epsc,nst,,,,,
brain,grey,BS,HB,P,P-sen,SOC,SOCm,,
brain,grey,BS,HB,MY,MY-mot,ISN,,,
brain,VS,VL,chpl,,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ll,SSp-ll2/3
brain,grey,BS,HB,P,P-sen,SOC,SOCl,,
brain,grey,BS,MB,MBmot,IV,,,,
brain,fiber tracts,cm,IIn,och,,,,,
brain,grey,BS,IB,HY,PVZ,PVi,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AI,AIp,AIp1,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISl,VISl6b,
brain,grey,BS,HB,P,P-sen,SOC,POR,,
brain,grey,BS,HB,P,P-sen,PB,KF,,
brain,fiber tracts,cm,IIn,opt,,,,,
brain,grey,BS,IB,HY,PVR,PVp,,,
brain,grey,BS,MB,MBmot,MRN,,,,
brain,VS,V3,,,,,,,
brain,grey,CH,CTX,CTXsp,LA,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,PL,PL6b,,
brain,grey,BS,IB,HY,PVR,PVpo,,,
brain,grey,BS,HB,MY,MY-mot,IRN,,,
brain,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTl,ENTl5
brain,VS,AQ,,,,,,,
brain,grey,BS,HB,MY,MY-mot,AMB,AMBv,,
brain,VS,V4,,,,,,,
brain,grey,BS,HB,P,P-sat,PRNr,,,
brain,grey,BS,HB,P,P-sat,LC,,,
brain,grey,CH,CTX,CTXpl,Isocortex,GU,GU4,,
brain,grey,BS,IB,TH,DORpm,MTN,PVT,,
brain,VS,V4,V4r,,,,,,
brain,grey,BS,IB,TH,DORpm,ATN,LD,,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDd,AUDd6a,
brain,fiber tracts,cm,IIIn,pc,,,,,
brain,grey,CH,CTX,CTXpl,OLF,AON,,,
brain,grey,BS,HB,P,P-sat,LDT,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AI,AIp,AIp2/3,
brain,VS,c,,,,,,,
brain,grey,BS,HB,MY,MY-mot,PHY,PRP,,
brain,grey,CH,CTX,CTXpl,Isocortex,PL,PL1,,
brain,grey,BS,IB,HY,LZ,RCH,,,
brain,grey,BS,HB,MY,MY-mot,PHY,NR,,
brain,grey,BS,IB,TH,DORpm,GENv,LGv,,
brain,grey,CH,CTX,CTXpl,Isocortex,GU,GU2/3,,
brain,grey,BS,IB,TH,DORpm,MTN,RE,,
brain,grey,BS,IB,TH,DORpm,EPI,LH,,
brain,grey,CH,CTX,CTXpl,Isocortex,GU,GU5,,
brain,grey,CH,CTX,CTXpl,OLF,AOB,AOBgl,,
brain,grey,BS,IB,TH,DORpm,ILM,RH,,
brain,fiber tracts,lfbs,cst,py,,,,,
brain,grey,BS,IB,HY,LZ,LHA,,,
brain,grey,CH,CTX,CTXpl,OLF,AOB,AOBgr,,
brain,grey,BS,MB,MBsta,RAmb,RL,,,
brain,fiber tracts,lfbs,cst,pyd,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-bfd,SSp-bfd2/3
brain,grey,BS,HB,MY,MY-mot,VNC,MV,,
brain,grey,BS,HB,MY,MY-mot,LIN,,,
brain,grey,CH,CTX,CTXpl,OLF,AOB,AOBmi,,
brain,grey,BS,HB,MY,MY-sat,RM,,,
brain,grey,BS,HB,MY,MY-sen,AP,,,
brain,grey,BS,HB,MY,MY-mot,VNC,LAV,,
brain,grey,BS,IB,HY,MEZ,MBO,LM,,
brain,grey,CH,CTX,CTXpl,Isocortex,ACA,ACAd,ACAd2/3,
brain,grey,BS,MB,MBmot,RN,,,,
brain,grey,BS,MB,MBmot,PRT,APN,,,
brain,grey,BS,HB,MY,MY-mot,VNC,SUV,,
brain,grey,BS,IB,TH,DORpm,LAT,LP,,
brain,grey,CH,CTX,CTXpl,OLF,MOB,MOBgr,,
brain,grey,BS,HB,MY,MY-sat,RO,,,
brain,grey,BS,IB,HY,PVZ,ARH,,,
brain,grey,BS,HB,MY,MY-mot,VNC,SPIV,,
brain,grey,BS,IB,HY,LZ,LPO,,,
brain,grey,CH,CTX,CTXpl,OLF,MOB,MOBipl,,
brain,fiber tracts,cm,Vn,sV,,,,,
brain,grey,BS,HB,MY,MY-sat,RPA,,,
brain,grey,BS,MB,MBmot,AT,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISal,VISal5,
brain,grey,CH,CTX,CTXpl,Isocortex,TEa,TEa4,,
brain,grey,CH,CTX,CTXpl,OLF,MOB,MOBmi,,
brain,fiber tracts,cm,Xn,ts,,,,,
brain,grey,BS,HB,P,P-sat,RPO,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDd,AUDd6b,
brain,grey,CH,CTX,CTXpl,OLF,MOB,MOBopl,,
brain,grey,BS,MB,MBmot,RR,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDpo,AUDpo6a,
brain,grey,CH,CNU,STR,LSX,LS,LSc,,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDp,AUDp2/3,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDd,AUDd5,
brain,grey,BS,IB,TH,DORpm,ATN,AV,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm6a,
brain,grey,CH,CNU,STR,LSX,LS,LSr,,
brain,grey,CH,CTX,CTXpl,OLF,NLOT,NLOT1,,
brain,grey,BS,IB,TH,DORpm,RT,,,
brain,grey,BS,IB,HY,PVR,AVP,,,
brain,grey,CH,CNU,STR,LSX,LS,LSv,,
brain,grey,CH,CTX,CTXpl,OLF,NLOT,NLOT2,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpl,VISpl2/3,
brain,grey,BS,MB,MBsen,SAG,,,,
brain,grey,BS,IB,HY,PVR,AVPV,,,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPd,RSPd6a,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPagl,RSPagl6b,
brain,grey,BS,HB,P,P-mot,B,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISam,VISam1,
brain,grey,BS,IB,HY,PVR,SCH,,,
brain,grey,CH,CNU,PAL,PALc,BAC,,,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBvl,ORBvl2/3,
brain,grey,CH,CTX,CTXpl,Isocortex,TEa,TEa5,,
brain,grey,CH,CNU,STR,sAMY,BA,,,
brain,grey,CH,CTX,CTXpl,Isocortex,ACA,ACAv,ACAv2/3,
brain,grey,CH,CNU,PAL,PALv,MA,,,
brain,fiber tracts,mfbs,mfbc,st,,,,,
brain,grey,CH,CTX,CTXsp,BLA,BLAa,,,
brain,grey,CH,CTX,CTXpl,Isocortex,PL,PL2/3,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISp,VISp6b,
brain,grey,BS,HB,MY,MY-mot,MARN,,,
brain,grey,CH,CNU,STR,LSX,SF,,,
brain,grey,CH,CTX,CTXsp,BLA,BLAp,,,
brain,grey,BS,MB,,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AI,AIp,AIp6a,
brain,grey,BS,HB,P,P-mot,SG,,,
brain,grey,CH,CTX,CTXpl,Isocortex,MO,MOp,MOp1,
brain,grey,BS,IB,TH,DORpm,GENv,SubG,,
brain,grey,BS,IB,TH,DORpm,LAT,SGN,,
brain,fiber tracts,cbf,cbp,scp,,,,,
brain,grey,CH,CTX,CTXsp,BMA,BMAa,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AI,AId,AId2/3,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPd,RSPd6b,
brain,grey,BS,IB,HY,PVZ,ASO,,,
brain,grey,CH,CNU,STR,LSX,SH,,,
brain,grey,CH,CTX,CTXsp,BMA,BMAp,,,
brain,grey,CH,CTX,CTXpl,Isocortex,PERI,PERI6a,,
brain,fiber tracts,cm,IIn,csc,,,,,
brain,grey,BS,IB,HY,PVR,SFO,,,
brain,grey,CH,CNU,PAL,PALv,SI,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AI,AIp,AIp5,
brain,grey,BS,IB,HY,PVR,SBPV,,,
brain,fiber tracts,mfbs,mfsbshy,sup,,,,,
brain,grey,BS,HB,P,P-sat,SLC,,,
brain,grey,CH,CNU,PAL,PALc,BST,,,
brain,grey,BS,HB,MY,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AI,AIp,AIp6b,
brain,grey,BS,IB,HY,LZ,PST,,,
brain,grey,BS,HB,P,P-sat,SLD,,,
brain,grey,BS,IB,TH,DORpm,MED,MD,,
brain,grey,CH,CTX,CTXpl,Isocortex,PL,PL5,,
brain,grey,BS,IB,HY,LZ,PSTN,,,
brain,grey,BS,IB,TH,DORpm,MED,SMT,,
brain,grey,CH,CTX,CTXpl,Isocortex,PERI,PERI6b,,
brain,grey,BS,HB,MY,MY-mot,ICB,,,
brain,grey,BS,MB,MBsta,SNc,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpl,VISpl6a,
brain,fiber tracts,cm,drt,cett,dc,cuf,,,
brain,grey,BS,MB,MBmot,SNr,,,,
brain,grey,BS,IB,HY,PVZ,SO,,,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA1,CA1slm,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpl,VISpl6b,
brain,fiber tracts,eps,rust,vtd,,,,,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA1,CA1so,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISam,VISam4,
brain,grey,CH,CNU,STR,sAMY,MEA,,,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA1,CA1sp,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl2/3,
brain,fiber tracts,cm,VIIIn,vVIIIn,,,,,
brain,grey,BS,IB,TH,DORsm,SPF,SPFm,,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA1,CA1sr,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISl,VISl1,
brain,grey,BS,IB,TH,DORsm,SPF,SPFp,,
brain,grey,CH,CTX,CTXpl,Isocortex,ECT,ECT2/3,,
brain,fiber tracts,mfbs,mfbc,fxs,fxpo,mct,,,
brain,grey,BS,HB,MY,MY-sen,SPVC,,,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPv,RSPv2/3,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA2,CA2slm,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISam,VISam5,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPd,RSPd2/3,
brain,fiber tracts,mfbs,mfbc,fxs,fxpo,fx,,,
brain,grey,BS,HB,MY,MY-sen,SPVI,,,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA2,CA2so,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl6a,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISam,VISam6b,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPd,RSPd1,
brain,fiber tracts,mfbs,mfbc,fxs,hc,dhc,,,
brain,grey,BS,HB,MY,MY-sen,SPVO,,,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA2,CA2sp,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl1,
brain,fiber tracts,mfbs,mfbc,fxs,hc,vhc,,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ul,SSp-ul1
brain,grey,CH,CTX,CTXsp,BLA,BLAv,,,
brain,grey,BS,IB,HY,PVR,MEPO,,,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA2,CA2sr,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDpo,AUDpo6b,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-tr,SSp-tr6b
brain,fiber tracts,mfbs,mfbc,fxs,alv,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm6b,
brain,grey,BS,IB,HY,LZ,STN,,,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA3,CA3slm,
brain,grey,CH,CNU,STR,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ll,SSp-ll6a
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA3,CA3slu,
brain,fiber tracts,cm,VIIIn,cVIIIn,bic,,,,
brain,grey,BS,IB,TH,DORpm,EPI,MH,,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBm,ORBm1,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA3,CA3so,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl6b,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA3,CA3sp,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm4,
brain,grey,CH,CTX,CTXpl,HPF,RHP,SUB,,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA3,CA3sr,
brain,fiber tracts,cm,VIIIn,cVIIIn,das,,,,
brain,grey,CH,CTX,CTXpl,OLF,MOB,,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ll,SSp-ll6b
brain,grey,CB,,,,,,,
brain,grey,BS,IB,HY,MEZ,MPN,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDv,AUDv6a,
brain,grey,BS,IB,HY,PVR,MPO,,,
brain,grey,BS,IB,HY,MEZ,MBO,SUM,,
brain,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTm,ENTm1
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDd,AUDd1,
brain,fiber tracts,mfbs,mfbc,fxs,df,,,,
brain,grey,BS,MB,MBmot,PRT,MPT,,,
brain,grey,BS,HB,P,P-mot,SUT,,,
brain,fiber tracts,cm,In,lotg,lotd,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,PERI,PERI1,,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPv,RSPv1,
brain,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTm,ENTm2
brain,grey,CH,CNU,STR,sAMY,CEA,CEAc,,
brain,grey,BS,IB,TH,,,,,
brain,grey,CH,CNU,STR,sAMY,CEA,CEAl,,
brain,fiber tracts,cbf,cbp,icp,sctd,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,ILA,ILA2/3,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-n,SSp-n1
brain,grey,CH,CNU,STR,sAMY,CEA,CEAm,,
brain,grey,CH,CNU,PAL,PALm,MSC,MS,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm5,
brain,grey,CH,CTX,CTXpl,OLF,TR,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISl,VISl4,
brain,grey,BS,HB,P,P-mot,TRN,,,
brain,grey,BS,IB,TH,DORpm,ILM,CL,,
brain,grey,BS,HB,MY,MY-mot,ACVII,,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ul,SSp-ul4
brain,fiber tracts,lfbs,cc,fa,ec,,,,
brain,grey,BS,MB,MBsen,NB,,,,
brain,grey,CH,CNU,PAL,PALm,TRS,,,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBm,ORBm2/3,
brain,grey,CH,CTX,CTXsp,CLA,,,,
brain,grey,BS,MB,MBmot,PAG,ND,,,
brain,grey,CH,CTX,CTXpl,Isocortex,ACA,ACAv,ACAv1,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPv,RSPv6a,
brain,grey,BS,MB,MBsta,RAmb,CLI,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISp,VISp1,
brain,fiber tracts,mfbs,mfsbshy,mfbse,fr,,,,
brain,grey,CH,CNU,PAL,PALm,MSC,NDB,,
brain,grey,CH,CTX,CTXpl,OLF,TT,TTd,,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDv,AUDv6b,
brain,grey,BS,IB,TH,DORpm,ILM,CM,,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDd,AUDd2/3,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISal,VISal6a,
brain,fiber tracts,mfbs,mfbc,fxs,fi,,,,
brain,grey,BS,HB,P,P-sat,NI,,,
brain,grey,CH,CTX,CTXpl,OLF,TT,TTv,,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBvl,ORBvl6a,
brain,grey,BS,IB,TH,DORsm,SPA,,,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPd,RSPd5,
brain,fiber tracts,mfbs,mfsbshy,mfbse,hbc,,,,
brain,grey,BS,HB,P,P-sen,NLL,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISl,VISl5,
brain,grey,BS,IB,HY,LZ,TU,,,
brain,grey,BS,MB,MBmot,CUN,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBm,ORBm5,
brain,grey,BS,HB,P,P-mot,V,,,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPv,RSPv6b,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ul,SSp-ul5
brain,grey,BS,MB,MBmot,PRT,NOT,,,
brain,grey,BS,IB,TH,DORsm,VENT,VAL,,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl5,
brain,grey,CH,CTX,CTXpl,HPF,HIP,DG,DG-sg,
brain,fiber tracts,cm,VIIIn,cVIIIn,cic,,,,
brain,grey,BS,MB,MBmot,PRT,NPC,,,
brain,grey,CH,CTX,CTXpl,Isocortex,GU,GU6a,,
brain,grey,CH,CTX,CTXpl,OLF,COA,COAa,,
brain,grey,BS,HB,MY,MY-sen,NTB,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDpo,AUDpo2/3,
brain,grey,CH,CTX,CTXpl,Isocortex,MO,MOp,MOp5,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISal,VISal6b,
brain,grey,BS,HB,MY,MY-sen,NTS,,,
brain,grey,BS,HB,MY,MY-mot,VI,,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-n,SSp-n4
brain,grey,CH,CTX,CTXpl,OLF,COA,COAp,COApl,
brain,grey,CH,CTX,CTXpl,Isocortex,MO,MOs,MOs1,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-m,SSp-m2/3
brain,fiber tracts,cm,VIIIn,cVIIIn,ll,,,,
brain,grey,BS,HB,MY,MY-mot,VII,,,
brain,grey,CH,CTX,CTXpl,Isocortex,GU,GU6b,,
brain,grey,CH,CTX,CTXpl,OLF,COA,COAp,COApm,
brain,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTm,ENTm3
brain,fiber tracts,cm,In,lotg,lot,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,FRP,FRP2/3,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-tr,SSp-tr2/3
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPagl,RSPagl1,
brain,grey,CH,CNU,STR,STRd,CP,,,
brain,fiber tracts,mfbs,mfsbshy,mfbsma,mp,,,,
